Month,Cumulative Gross (2019),% of Year (2019),Releases (2019),Average (2019),Cumulative Gross (2020),% of Year (2020),Releases (2020),Average (2020),Cumulative Gross (2021),% of Year (2021),Releases (2021),Average (2021),Cumulative Gross (2022),% of Year (2022),Releases (2022),Average (2022),Cumulative Gross (2023),% of Year (2023),Releases (2023),Average (2023)
December,"$1,148,160,245",10.1%,167,"$6,875,211","$67,691,870",3.2%,65,"$1,041,413","$921,180,089",20.5%,101,"$9,120,594","$677,889,565",9.2%,103,"$6,581,452","$321,770,088",3.8%,82,"$3,924,025"
November,"$959,213,976",8.4%,189,"$5,075,206","$62,738,998",3%,86,"$729,523","$523,343,646",11.7%,87,"$6,015,444","$627,967,014",8.5%,104,"$6,038,144","$551,961,137",6.5%,111,"$4,972,622"
October,"$781,640,026",6.9%,217,"$3,602,027","$63,361,603",3%,84,"$754,304","$623,287,457",13.9%,93,"$6,702,015","$469,077,379",6.4%,124,"$3,782,882","$556,040,943",6.6%,115,"$4,835,138"
September,"$686,794,246",6%,204,"$3,366,638","$86,031,381",4.1%,62,"$1,387,602","$367,172,835",8.2%,93,"$3,948,095","$323,170,990",4.4%,134,"$2,411,723","$472,947,170",5.6%,116,"$4,077,130"
August,"$837,630,353",7.4%,211,"$3,969,812","$32,316,928",1.5%,50,"$646,338","$417,701,047",9.3%,94,"$4,443,628","$466,953,463",6.3%,93,"$5,021,004","$812,833,316",9.6%,104,"$7,815,704"
July,"$1,288,196,026",11.3%,190,"$6,779,979","$7,806,635",0.4%,45,"$173,480","$582,543,500",13%,91,"$6,401,576","$1,133,519,549",15.4%,92,"$12,320,864","$1,362,543,540",16.1%,92,"$14,810,255"
June,"$1,149,048,054",10.1%,192,"$5,984,625","$3,677,627",0.2%,22,"$167,164","$401,276,723",9%,85,"$4,720,902","$968,941,491",13.1%,96,"$10,093,140","$1,003,737,346",11.8%,98,"$10,242,217"
May,"$1,077,667,188",9.5%,225,"$4,789,631","$995,838",<0.1%,13,"$76,602","$214,709,870",4.8%,83,"$2,586,865","$785,932,315",10.7%,89,"$8,830,700","$774,058,701",9.1%,105,"$7,371,987"
April,"$1,034,983,338",9.1%,220,"$4,704,469","$52,015",<0.1%,6,"$8,669","$195,097,683",4.4%,79,"$2,469,590","$571,022,697",7.7%,96,"$5,948,153","$900,856,943",10.6%,128,"$7,037,944"
March,"$962,715,490",8.5%,192,"$5,014,143","$253,334,028",12%,144,"$1,759,264","$113,597,962",2.5%,64,"$1,774,968","$589,385,878",8%,96,"$6,139,436","$638,179,407",7.5%,131,"$4,871,598"
February,"$624,462,229",5.5%,147,"$4,248,042","$638,097,308",30.2%,158,"$4,038,590","$57,759,509",1.3%,62,"$931,604","$365,862,371",5%,80,"$4,573,279","$499,389,906",5.9%,110,"$4,539,908"
January,"$812,849,718",7.2%,161,"$5,048,756","$897,742,569",42.5%,146,"$6,148,921","$65,138,132",1.5%,55,"$1,184,329","$389,782,780",5.3%,66,"$5,905,799","$584,765,684",6.9%,89,"$6,570,400"
